ID,title,author,TrueURL
140,日記帳,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/57190_58247.html
141,小春,国木田 独歩,https://www.aozora.gr.jp/cards/000038/files/42202_48332.html
142,羅生門,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/128_15261.html
143,狂気の山脈にて,ラヴクラフト ハワード・フィリップス,https://www.aozora.gr.jp/cards/001699/files/57858_59672.html
144,Ｄ坂の殺人事件,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/56650_58209.html
145,高野聖,泉 鏡花,https://www.aozora.gr.jp/cards/000050/files/521_20583.html
146,津軽,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2282_15074.html
147,それから,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/56143_50921.html
148,アリスはふしぎの国で,キャロル ルイス,https://www.aozora.gr.jp/cards/001393/files/57320_57183.html
149,待つ,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2317_13904.html
150,遺書,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/16034_33783.html
151,「いき」の構造,九鬼 周造,https://www.aozora.gr.jp/cards/000065/files/393_etc.zip
152,雪渡り,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/45679_22349.html
153,茶の本,岡倉 天心,https://www.aozora.gr.jp/cards/000238/files/1276_31472.html
154,きのこ会議,夢野 久作,https://www.aozora.gr.jp/cards/000096/files/46694_27682.html
155,ヰタ・セクスアリス,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/695_22806.html
156,人生論ノート,三木 清,https://www.aozora.gr.jp/cards/000218/files/46845_29569.html
157,チベット旅行記,河口 慧海,https://www.aozora.gr.jp/cards/001404/files/49966_44769.html
158,ア、秋,太宰 治,https://www.aozora.gr.jp/cards/000035/files/236_19996.html
159,黒死館殺人事件,小栗 虫太郎,https://www.aozora.gr.jp/cards/000125/files/1317_23268.html
160,在りし日の歌,中原 中也,https://www.aozora.gr.jp/cards/000026/files/219_33152.html
161,この子を残して,永井 隆,https://www.aozora.gr.jp/cards/000924/files/49192_39848.html
162,ガリバー旅行記,スウィフト ジョナサン,https://www.aozora.gr.jp/cards/000912/files/4673_9768.html
163,雪の女王,アンデルセン ハンス・クリスチャン,https://www.aozora.gr.jp/cards/000019/files/42387_20568.html
164,猫の事務所,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/464_19941.html
165,黄金風景,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2257_15061.html
166,魔術,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/95_15247.html
167,青猫,萩原 朔太郎,https://www.aozora.gr.jp/cards/000067/files/1768_18738.html
168,抒情小曲集,室生 犀星,https://www.aozora.gr.jp/cards/001579/files/53241_49665.html
169,ヴィヨンの妻,太宰 治,https://www.aozora.gr.jp/cards/000035/files/2253_14908.html
170,赤いくつ,アンデルセン ハンス・クリスチャン,https://www.aozora.gr.jp/cards/000019/files/42378_18502.html
171,病牀六尺,正岡 子規,https://www.aozora.gr.jp/cards/000305/files/43537_41508.html
172,雨の玉川心中,太宰 治,https://www.aozora.gr.jp/cards/000035/files/58054_61587.html
173,死者の書,折口 信夫,https://www.aozora.gr.jp/cards/000933/files/4398_14220.html
174,源氏物語,紫式部 ,https://www.aozora.gr.jp/cards/000052/files/5016_9758.html
175,双子の星,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/459_15404.html
176,河童,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/69_14933.html
177,小さき者へ,有島 武郎,https://www.aozora.gr.jp/cards/000025/files/206_20463.html
178,福翁自伝,福沢 諭吉,https://www.aozora.gr.jp/cards/000296/files/1864_61590.html
179,後世への最大遺物,内村 鑑三,https://www.aozora.gr.jp/cards/000034/files/519_43561.html
180,三国志,吉川 英治,https://www.aozora.gr.jp/cards/001562/files/52409_51059.html
181,ジーキル博士とハイド氏の怪事件,スティーブンソン ロバート・ルイス,https://www.aozora.gr.jp/cards/000888/files/33205_26197.html
182,風流仏,幸田 露伴,https://www.aozora.gr.jp/cards/000051/files/2710_14020.html
183,ファウスト,ゲーテ ヨハン・ヴォルフガング・フォン,https://www.aozora.gr.jp/cards/001025/files/50909_49238.html
184,雪女,小泉 八雲,https://www.aozora.gr.jp/cards/000258/files/50326_35772.html
185,こがね丸,巌谷 小波,https://www.aozora.gr.jp/cards/000981/files/3646_12287.html
186,正義と微笑,太宰 治,https://www.aozora.gr.jp/cards/000035/files/1577_8581.html
187,科学者とあたま,寺田 寅彦,https://www.aozora.gr.jp/cards/000042/files/2359_13797.html
188,飴だま,新美 南吉,https://www.aozora.gr.jp/cards/000121/files/4723_13209.html
189,畜犬談,太宰 治,https://www.aozora.gr.jp/cards/000035/files/246_34649.html
190,人魚のひいさま,アンデルセン ハンス・クリスチャン,https://www.aozora.gr.jp/cards/000019/files/42383_21527.html
191,二銭銅貨,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/56647_58167.html
192,虞美人草,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/761_14485.html
193,カラマゾフの兄弟,ドストエフスキー フィヨードル・ミハイロヴィチ,https://www.aozora.gr.jp/cards/000363/files/42286_37300.html
194,草木塔,種田 山頭火,https://www.aozora.gr.jp/cards/000146/files/749_34457.html
195,秋,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/16_14570.html
196,愛の詩集,室生 犀星,https://www.aozora.gr.jp/cards/001579/files/53947_53569.html
197,秘密,谷崎 潤一郎,https://www.aozora.gr.jp/cards/001383/files/57349_60032.html
198,夜長姫と耳男,坂口 安吾,https://www.aozora.gr.jp/cards/001095/files/42614_21838.html
199,白痴,坂口 安吾,https://www.aozora.gr.jp/cards/001095/files/42621_21290.html
200,雁,森 鴎外,https://www.aozora.gr.jp/cards/000129/files/45224_19919.html
201,現代日本の開化,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/759_44901.html
202,イワンの馬鹿,トルストイ レオ,https://www.aozora.gr.jp/cards/000361/files/42941_15672.html
203,Ｋの昇天,梶井 基次郎,https://www.aozora.gr.jp/cards/000074/files/419_19702.html
204,悪魔,芥川 竜之介,https://www.aozora.gr.jp/cards/000879/files/3804_27277.html
205,海潮音,上田 敏,https://www.aozora.gr.jp/cards/000235/files/2259_34474.html
206,六百句,高浜 虚子,https://www.aozora.gr.jp/cards/001310/files/51840_59625.html
207,注文の多い料理店,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/1927_17906.html
208,光と風と夢,中島 敦,https://www.aozora.gr.jp/cards/000119/files/1743_14532.html
209,道化の華,太宰 治,https://www.aozora.gr.jp/cards/000035/files/255_15100.html
210,弟子,中島 敦,https://www.aozora.gr.jp/cards/000119/files/1738_16623.html
211,夫婦善哉,織田 作之助,https://www.aozora.gr.jp/cards/000040/files/545_33102.html
212,少女病,田山 花袋,https://www.aozora.gr.jp/cards/000214/files/1098_42470.html
213,邪宗門,北原 白秋,https://www.aozora.gr.jp/cards/000106/files/4850_13918.html
214,猫町,萩原 朔太郎,https://www.aozora.gr.jp/cards/000067/files/641_21647.html
215,赤ずきんちゃん,グリム ヤーコプ・ルートヴィッヒ・カール,https://www.aozora.gr.jp/cards/001091/files/42311_15546.html
216,鮨,岡本 かの子,https://www.aozora.gr.jp/cards/000076/files/1016_19596.html
217,別れ霜,樋口 一葉,https://www.aozora.gr.jp/cards/000064/files/55665_54779.html
218,モルグ街の殺人事件,ポー エドガー・アラン,https://www.aozora.gr.jp/cards/000094/files/605_20934.html
219,変な音,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/763_43525.html
220,硝子戸の中,夏目 漱石,https://www.aozora.gr.jp/cards/000148/files/760_14940.html
221,赤い部屋,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/57181_59566.html
222,死後の恋,夢野 久作,https://www.aozora.gr.jp/cards/000096/files/2380_13349.html
223,悲しき玩具,石川 啄木,https://www.aozora.gr.jp/cards/000153/files/815_20544.html
224,猿かに合戦,楠山 正雄,https://www.aozora.gr.jp/cards/000329/files/18334_11947.html
225,赤いカブトムシ,江戸川 乱歩,https://www.aozora.gr.jp/cards/001779/files/57105_59659.html
226,貝の火,宮沢 賢治,https://www.aozora.gr.jp/cards/000081/files/1942_42611.html
